Month,Day,Hour,Day of Week,Occupancy
1,6,0,6,0.75
1,6,1,6,0.25
1,6,2,6,0.0
1,6,3,6,0.0
1,6,4,6,0.0
1,6,5,6,0.0
1,6,6,6,0.5
1,6,7,6,1.375
1,6,8,6,2.125
1,6,9,6,3.5
1,6,10,6,5.0
1,6,11,6,6.375
1,6,12,6,7.75
1,6,13,6,12.0
1,6,14,6,8.0
1,6,15,6,7.375
1,6,16,6,6.875
1,6,17,6,7.25
1,6,18,6,7.75
1,6,19,6,7.375
1,6,20,6,4.75
1,6,21,6,3.0
1,6,22,6,2.625
1,6,23,6,2.0
1,12,0,6,1.125
1,12,1,6,0.375
1,12,2,6,0.0
1,12,3,6,0.0
1,12,4,6,0.0
1,12,5,6,0.0
1,12,6,6,0.375
1,12,7,6,1.25
1,12,8,6,2.0
1,12,9,6,3.875
1,12,10,6,6.0
1,12,11,6,7.25
1,12,12,6,10.0
1,12,13,6,10.375
1,12,14,6,13.125
1,12,15,6,10.25
1,12,16,6,7.5
1,12,17,6,8.125
1,12,18,6,10.125
1,12,19,6,10.25
1,12,20,6,7.625
1,12,21,6,3.75
1,12,22,6,2.75
1,12,23,6,2.375
1,16,0,6,0.375
1,16,1,6,0.125
1,16,2,6,0.0
1,16,3,6,0.0
1,16,4,6,0.0
1,16,5,6,0.0
1,16,6,6,0.5
1,16,7,6,0.5
1,16,8,6,1.25
1,16,9,6,2.25
1,16,10,6,3.375
1,16,11,6,4.875
1,16,12,6,6.75
1,16,13,6,9.5
1,16,14,6,8.75
1,16,15,6,14.0
1,16,16,6,7.75
1,16,17,6,8.0
1,16,18,6,7.5
1,16,19,6,7.125
1,16,20,6,4.0
1,16,21,6,2.375
1,16,22,6,1.625
1,16,23,6,1.375
1,20,0,6,1.0
1,20,1,6,0.25
1,20,2,6,0.0
1,20,3,6,0.0
1,20,4,6,0.0
1,20,5,6,0.0
1,20,6,6,0.25
1,20,7,6,1.0
1,20,8,6,2.375
1,20,9,6,4.875
1,20,10,6,8.25
1,20,11,6,8.75
1,20,12,6,12.5
1,20,13,6,19.625
1,20,14,6,14.375
1,20,15,6,9.625
1,20,16,6,9.0
1,20,17,6,9.25
1,20,18,6,10.5
1,20,19,6,10.625
1,20,20,6,6.25
1,20,21,6,3.75
1,20,22,6,2.875
1,20,23,6,2.0
1,23,0,6,0.75
1,23,1,6,0.0
1,23,2,6,0.0
1,23,3,6,0.0
1,23,4,6,0.0
1,23,5,6,0.0
1,23,6,6,0.5
1,23,7,6,0.75
1,23,8,6,1.25
1,23,9,6,2.75
1,23,10,6,3.875
1,23,11,6,5.0
1,23,12,6,6.5
1,23,13,6,7.5
1,23,14,6,8.0
1,23,15,6,9.875
1,23,16,6,7.125
1,23,17,6,7.0
1,23,18,6,7.125
1,23,19,6,6.25
1,23,20,6,3.75
1,23,21,6,2.0
1,23,22,6,1.25
1,23,23,6,0.875
1,26,0,6,1.125
1,26,1,6,0.625
1,26,2,6,0.0
1,26,3,6,0.0
1,26,4,6,0.0
1,26,5,6,0.0
1,26,6,6,0.5
1,26,7,6,1.25
1,26,8,6,2.625
1,26,9,6,4.75
1,26,10,6,7.375
1,26,11,6,7.75
1,26,12,6,8.75
1,26,13,6,11.25
1,26,14,6,13.5
1,26,15,6,9.625
1,26,16,6,9.0
1,26,17,6,9.25
1,26,18,6,16.125
1,26,19,6,11.5
1,26,20,6,6.875
1,26,21,6,3.875
1,26,22,6,3.0
1,26,23,6,2.5
1,27,0,6,0.875
1,27,1,6,0.125
1,27,2,6,0.0
1,27,3,6,0.0
1,27,4,6,0.0
1,27,5,6,0.125
1,27,6,6,0.375
1,27,7,6,1.5
1,27,8,6,3.125
1,27,9,6,4.875
1,27,10,6,6.875
1,27,11,6,9.375
1,27,12,6,9.75
1,27,13,6,12.125
1,27,14,6,8.375
1,27,15,6,9.625
1,27,16,6,9.375
1,27,17,6,10.375
1,27,18,6,13.25
1,27,19,6,11.0
1,27,20,6,6.125
1,27,21,6,4.125
1,27,22,6,2.625
1,27,23,6,1.875
1,30,0,6,0.625
1,30,1,6,0.0
1,30,2,6,0.0
1,30,3,6,0.0
1,30,4,6,0.0
1,30,5,6,0.0
1,30,6,6,0.125
1,30,7,6,0.75
1,30,8,6,1.5
1,30,9,6,2.625
1,30,10,6,3.875
1,30,11,6,5.25
1,30,12,6,6.375
1,30,13,6,8.25
1,30,14,6,8.5
1,30,15,6,12.333333333333334
1,30,16,6,21.5
1,30,17,6,14.75
1,30,18,6,12.0
1,30,19,6,12.25
1,30,20,6,5.875
1,30,21,6,3.0
1,30,22,6,2.25
1,30,23,6,1.75
2,2,0,6,1.125
2,2,1,6,0.625
2,2,2,6,0.25
2,2,3,6,0.0
2,2,4,6,0.0
2,2,5,6,0.0
2,2,6,6,0.5
2,2,7,6,1.625
2,2,8,6,3.125
2,2,9,6,4.375
2,2,10,6,5.0
2,2,11,6,8.375
2,2,12,6,8.375
2,2,13,6,8.5
2,2,14,6,15.875
2,2,15,6,10.375
2,2,16,6,8.375
2,2,17,6,7.375
2,2,18,6,8.75
2,2,19,6,11.125
2,2,20,6,6.875
2,2,21,6,4.0
2,2,22,6,3.125
2,2,23,6,2.25
2,3,0,6,1.0
2,3,1,6,0.125
2,3,2,6,0.0
2,3,3,6,0.0
2,3,4,6,0.0
2,3,5,6,0.0
2,3,6,6,0.625
2,3,7,6,1.25
2,3,8,6,2.75
2,3,9,6,3.875
2,3,10,6,5.125
2,3,11,6,5.875
2,3,12,6,10.0
2,3,13,6,8.625
2,3,14,6,8.75
2,3,15,6,8.875
2,3,16,6,9.625
2,3,17,6,10.125
2,3,18,6,16.875
2,3,19,6,10.0
2,3,20,6,5.75
2,3,21,6,3.875
2,3,22,6,2.625
2,3,23,6,2.125
2,6,0,6,0.625
2,6,1,6,0.125
2,6,2,6,0.0
2,6,3,6,0.0
