Month,Day,Day of Week,Hour,Occupancy
1,6,6,14,7.875
1,6,6,15,7.25
1,6,6,16,7.625
1,6,6,17,7.375
1,6,6,18,6.125
1,6,6,19,4.75
1,6,6,20,4.125
1,6,6,21,3.625
1,6,6,22,4.0
1,6,6,23,2.375
1,7,0,0,2.125
1,7,0,1,1.25
1,7,0,2,1.5
1,7,0,3,0.625
1,7,0,4,0.0
1,7,0,5,0.0
1,7,0,6,0.0
1,7,0,7,0.0
1,7,0,8,0.5
1,7,0,9,2.0
1,7,0,10,2.0
1,7,0,11,4.5
1,7,0,12,5.625
1,7,0,13,6.375
1,7,0,14,6.0
1,7,0,15,6.625
1,7,0,16,7.0
1,7,0,17,6.125
1,7,0,18,5.25
1,7,0,19,3.75
1,7,0,20,2.0
1,7,0,21,2.375
1,7,0,22,1.125
1,7,0,23,0.625
1,7,1,0,0.5
1,7,1,1,0.0
1,7,1,2,0.0
1,7,1,3,0.0
1,7,1,4,0.0
1,7,1,5,0.0
1,7,1,6,0.625
1,7,1,7,3.5
1,8,1,0,0.0
1,8,1,1,0.0
1,8,1,2,0.0
1,8,1,3,0.0
1,8,1,4,0.0
1,8,1,5,0.0
1,8,1,6,1.0
1,8,1,7,4.625
1,8,1,8,9.125
1,8,1,9,7.375
1,8,1,10,4.125
1,8,1,11,5.125
1,8,1,12,6.375
1,8,1,13,6.75
1,8,1,14,6.25
1,8,1,15,8.5
1,8,1,16,11.625
1,8,1,17,20.0
1,8,1,18,10.125
1,8,1,19,9.5
1,8,1,20,4.25
1,8,1,21,3.25
1,8,1,22,2.125
1,8,1,23,1.25
1,8,2,14,9.5
1,8,2,15,9.375
1,8,2,16,12.75
1,8,2,17,13.25
1,8,2,18,10.5
1,8,2,19,9.75
1,8,2,20,5.25
1,8,2,21,4.25
1,8,2,22,3.0
1,8,2,23,1.25
1,9,2,0,0.625
1,9,2,1,0.0
1,9,2,2,0.0
1,9,2,3,0.0
1,9,2,4,0.0
1,9,2,5,0.0
1,9,2,6,0.625
1,9,2,7,4.5
1,9,2,8,9.375
1,9,2,9,8.625
1,9,2,10,5.5
1,9,2,11,5.75
1,9,2,12,6.625
1,9,2,13,7.5
1,9,2,14,7.625
1,9,2,15,9.25
1,9,2,16,12.375
1,9,2,17,17.125
1,9,2,18,9.875
1,9,2,19,9.375
1,9,2,20,5.875
1,9,2,21,4.25
1,9,2,22,2.75
1,9,2,23,1.375
1,9,3,0,0.75
1,9,3,1,0.125
1,9,3,2,0.0
1,9,3,3,0.0
1,9,3,4,0.0
1,9,3,5,0.0
1,9,3,6,0.375
1,9,3,7,3.625
1,9,3,8,8.75
1,9,3,9,9.25
1,9,3,10,6.125
1,9,3,11,5.625
1,9,3,12,7.375
1,9,3,13,7.875
1,9,3,14,8.625
1,9,3,15,9.375
1,9,3,16,13.0
1,9,3,17,17.25
1,9,3,18,11.125
1,9,3,19,11.5
1,9,3,20,7.25
1,9,3,21,4.375
1,9,3,22,3.5
1,9,3,23,1.625
1,10,3,0,0.5
1,10,3,1,0.0
1,10,3,2,0.0
1,10,3,3,0.0
1,10,3,4,0.0
1,10,3,5,0.0
1,10,3,6,0.875
1,10,3,7,4.875
1,10,3,8,9.375
1,10,3,9,8.375
1,10,3,10,5.25
1,10,3,11,5.625
1,10,3,12,6.875
1,10,3,13,7.625
1,10,3,14,8.125
1,10,3,15,8.875
1,10,3,16,12.0
1,10,3,17,12.75
1,10,3,18,9.25
1,10,3,19,10.0
1,10,3,20,6.25
1,10,3,21,3.875
1,10,3,22,2.875
1,10,3,23,2.125
1,10,4,0,0.875
1,10,4,1,0.125
1,10,4,2,0.0
1,10,4,3,0.0
1,10,4,4,0.0
1,10,4,5,0.0
1,10,4,6,0.5
1,10,4,7,3.5
1,10,4,8,8.75
1,10,4,9,8.875
1,10,4,10,6.0
1,10,4,11,5.625
1,10,4,12,7.25
1,10,4,13,8.125
1,10,4,14,8.125
1,10,4,15,9.375
1,10,4,16,12.75
1,10,4,17,19.25
1,10,4,18,10.5
1,10,4,19,8.75
1,10,4,20,6.75
1,10,4,21,4.75
1,10,4,22,4.0
1,10,4,23,1.875
1,11,4,0,0.875
1,11,4,1,0.0
1,11,4,2,0.0
1,11,4,3,0.0
1,11,4,4,0.0
