Month,Day,Hour,Day of Week,Occupancy
1,1,0,2,1.75
1,1,1,2,2.125
1,1,2,2,1.75
1,1,3,2,1.125
1,1,4,2,0.125
1,1,5,2,0.0
1,1,6,2,0.0
1,1,7,2,0.0
1,1,8,2,0.0
1,1,9,2,1.25
1,1,10,2,1.5
1,1,11,2,2.375
1,1,12,2,3.25
1,1,13,2,3.75
1,1,14,2,3.875
1,1,15,2,3.875
1,1,16,2,3.375
1,1,17,2,3.125
1,1,18,2,3.0
1,1,19,2,2.75
1,1,20,2,1.875
1,1,21,2,1.125
1,1,22,2,0.75
1,1,23,2,0.25
1,2,0,2,0.0
1,2,1,2,0.0
1,2,2,2,0.0
1,2,3,2,0.0
1,2,4,2,0.0
1,2,5,2,0.0
1,2,6,2,1.125
1,2,7,2,5.875
1,2,8,2,9.5
1,2,9,2,10.875
1,2,10,2,8.0
1,2,11,2,5.0
1,2,12,2,5.25
1,2,13,2,6.125
1,2,14,2,5.5
1,2,15,2,5.25
1,2,16,2,7.25
1,2,17,2,7.5
1,2,18,2,7.25
1,2,19,2,3.875
1,2,20,2,1.625
1,2,21,2,1.25
1,2,22,2,0.75
1,2,23,2,0.0
1,9,0,2,0.25
1,9,1,2,0.0
1,9,2,2,0.0
1,9,3,2,0.0
1,9,4,2,0.0
1,9,5,2,0.375
1,9,6,2,2.625
1,9,7,2,9.125
1,9,8,2,25.875
1,9,9,2,21.125
1,9,10,2,8.75
1,9,11,2,6.25
1,9,12,2,6.75
1,9,13,2,7.25
1,9,14,2,6.25
1,9,15,2,6.75
1,9,16,2,8.625
1,9,17,2,29.875
1,9,18,2,24.875
1,9,19,2,11.875
1,9,20,2,3.625
1,9,21,2,2.25
1,9,22,2,1.25
1,9,23,2,0.625
1,19,0,2,0.0
1,19,1,2,0.0
1,19,2,2,0.0
1,19,3,2,0.0
1,19,4,2,0.0
1,19,5,2,0.125
1,19,6,2,1.25
1,19,7,2,3.0
1,19,8,2,5.625
1,19,9,2,5.5
1,19,10,2,4.375
1,19,11,2,3.5
1,19,12,2,4.625
1,19,13,2,4.875
1,19,14,2,4.375
1,19,15,2,5.0
1,19,16,2,5.5
1,19,17,2,7.0
1,19,18,2,6.0
1,19,19,2,4.0
1,19,20,2,2.125
1,19,21,2,0.875
1,19,22,2,0.875
1,19,23,2,0.25
1,22,0,2,0.0
1,22,1,2,0.0
1,22,2,2,0.0
1,22,3,2,0.0
1,22,4,2,0.0
1,22,5,2,0.25
1,22,6,2,2.375
1,22,7,2,9.125
1,22,8,2,25.25
1,22,9,2,34.375
1,22,10,2,17.625
1,22,11,2,8.0
1,22,12,2,7.25
1,22,13,2,7.5
1,22,14,2,6.5
1,22,15,2,7.125
1,22,16,2,8.75
1,22,17,2,33.25
1,22,18,2,25.375
1,22,19,2,9.25
1,22,20,2,6.125
1,22,21,2,2.25
1,22,22,2,1.5
1,22,23,2,0.625
1,23,0,2,0.0
1,23,1,2,0.0
1,23,2,2,0.0
1,23,3,2,0.0
1,23,4,2,0.0
1,23,5,2,0.25
1,23,6,2,2.75
1,23,7,2,10.0
1,23,8,2,24.25
1,23,9,2,17.75
1,23,10,2,8.875
1,23,11,2,7.0
1,23,12,2,7.0
1,23,13,2,7.0
1,23,14,2,6.25
1,23,15,2,7.375
1,23,16,2,9.5
1,23,17,2,31.375
1,23,18,2,36.0
1,23,19,2,18.25
1,23,20,2,4.0
1,23,21,2,1.875
1,23,22,2,1.25
1,23,23,2,0.25
1,26,0,2,0.0
1,26,1,2,0.0
1,26,2,2,0.0
1,26,3,2,0.0
1,26,4,2,0.0
1,26,5,2,0.0
1,26,6,2,1.375
1,26,7,2,3.25
1,26,8,2,6.375
1,26,9,2,5.75
1,26,10,2,4.25
1,26,11,2,4.25
1,26,12,2,5.125
1,26,13,2,5.25
1,26,14,2,5.125
1,26,15,2,5.5
1,26,16,2,7.5
1,26,17,2,8.875
1,26,18,2,7.75
1,26,19,2,5.0
1,26,20,2,2.625
1,26,21,2,1.5
1,26,22,2,1.0
1,26,23,2,0.125
1,29,0,2,0.0
1,29,1,2,0.0
1,29,2,2,0.0
1,29,3,2,0.0
1,29,4,2,0.0
1,29,5,2,0.125
1,29,6,2,2.25
1,29,7,2,9.0
1,29,8,2,22.625
1,29,9,2,29.875
1,29,10,2,21.25
