Month,Day,Day of Week,Hour,Occupancy
1,3,3,19,12.25
1,3,3,20,6.75
1,3,3,21,4.916666666666667
1,3,3,22,3.5833333333333335
1,3,3,23,3.1666666666666665
1,3,4,0,1.3333333333333333
1,3,4,1,0.5833333333333334
1,3,4,2,0.6666666666666666
1,3,4,3,0.5
1,3,4,4,0.08333333333333333
1,3,4,5,0.5
1,3,4,6,1.1666666666666667
1,3,4,7,6.083333333333333
1,3,4,8,10.0
1,3,4,9,10.0
1,3,4,10,13.333333333333334
1,3,4,11,13.75
1,3,4,12,18.416666666666668
1,3,4,13,14.083333333333334
1,3,4,14,14.583333333333334
1,3,4,15,5.583333333333333
1,3,4,16,16.666666666666668
1,3,4,17,21.083333333333332
1,3,4,18,22.166666666666668
1,3,4,19,16.75
1,3,4,20,10.833333333333334
1,3,4,21,9.083333333333334
1,3,4,22,6.666666666666667
1,3,4,23,5.916666666666667
1,4,1,0,0.6666666666666666
1,4,1,1,0.4166666666666667
1,4,1,2,0.25
1,4,1,3,0.16666666666666666
1,4,1,4,0.13333333333333333
1,4,1,5,0.4166666666666667
1,4,1,6,1.0
1,4,1,7,2.3333333333333335
1,4,1,8,3.0
1,4,1,9,3.6666666666666665
1,4,1,10,4.333333333333333
1,4,1,11,4.916666666666667
1,4,1,12,6.75
1,4,1,13,6.083333333333333
1,4,1,14,7.916666666666667
1,4,1,15,10.333333333333334
1,4,1,16,13.583333333333334
1,4,1,17,11.0
1,4,1,18,10.916666666666666
1,4,1,19,4.666666666666667
1,4,1,20,3.4166666666666665
1,4,1,21,2.3333333333333335
1,4,1,22,2.0833333333333335
1,4,1,23,1.1666666666666667
1,4,4,0,1.4166666666666667
1,4,4,1,0.6666666666666666
1,4,4,2,0.75
1,4,4,3,0.4166666666666667
1,4,4,4,0.5833333333333334
1,4,4,5,0.4166666666666667
1,4,4,6,1.8333333333333333
1,4,4,7,10.333333333333334
1,4,4,8,11.833333333333334
1,4,4,9,10.666666666666666
1,4,4,10,11.833333333333334
1,4,4,11,12.0
1,4,4,12,15.916666666666666
1,4,4,13,18.833333333333332
1,4,4,14,17.666666666666668
1,4,4,15,17.333333333333332
1,4,4,16,20.083333333333332
1,4,4,17,25.416666666666668
1,4,4,18,24.25
1,4,4,19,18.916666666666668
1,4,4,20,8.083333333333334
1,4,4,21,7.083333333333333
1,4,4,22,5.75
1,4,4,23,3.75
1,4,5,0,2.1666666666666665
1,4,5,1,1.25
1,4,5,2,0.6666666666666666
1,4,5,3,0.5
1,4,5,4,0.4166666666666667
1,5,2,0,0.3333333333333333
1,5,2,1,0.08333333333333333
1,5,2,2,0.0
1,5,2,3,0.16666666666666666
1,5,2,4,0.3333333333333333
1,5,2,5,0.0
1,5,2,6,0.6666666666666666
1,5,2,7,2.25
1,5,2,8,3.0
1,5,2,9,3.5
1,5,2,10,4.166666666666667
1,5,2,11,4.666666666666667
1,5,2,12,5.75
1,5,2,13,7.5
1,5,2,14,6.833333333333333
1,5,2,15,9.666666666666666
1,5,2,16,12.833333333333334
1,5,2,17,13.666666666666666
1,5,2,18,10.5
1,5,2,19,4.75
1,5,2,20,3.25
1,5,2,21,2.4166666666666665
1,5,2,22,1.8333333333333333
1,5,2,23,1.5833333333333333
1,5,5,0,2.25
1,5,5,1,1.0833333333333333
1,5,5,2,1.0833333333333333
1,5,5,3,0.25
1,5,5,4,0.16666666666666666
1,5,5,5,0.4166666666666667
1,5,5,6,2.3333333333333335
1,5,5,7,12.5
1,5,5,8,14.416666666666666
1,5,5,9,13.333333333333334
1,5,5,10,15.166666666666666
1,5,5,11,13.666666666666666
1,5,5,12,20.5
1,5,5,13,22.75
1,5,5,14,17.583333333333332
1,5,5,15,20.75
1,5,5,16,21.666666666666668
1,5,5,17,29.583333333333332
1,5,5,18,19.333333333333332
1,5,5,19,14.916666666666666
1,5,5,20,12.916666666666666
1,5,5,21,9.0
1,5,5,22,12.5
1,5,5,23,10.333333333333334
1,6,0,4,1.5555555555555556
1,6,0,5,0.7777777777777778
1,6,0,6,0.5833333333333334
1,6,0,7,1.1666666666666667
1,6,0,8,1.3333333333333333
1,6,0,9,2.5833333333333335
1,6,0,10,4.916666666666667
1,6,0,11,7.583333333333333
1,6,0,12,11.666666666666666
1,6,0,13,11.333333333333334
1,6,0,14,13.083333333333334
1,6,0,15,12.75
1,6,0,16,11.25
1,6,0,17,10.583333333333334
1,6,0,18,18.5
1,6,0,19,17.0
1,6,0,20,7.583333333333333
1,6,0,21,5.25
1,6,0,22,5.166666666666667
1,6,0,23,3.75
1,6,3,0,0.5
1,6,3,1,0.25
1,6,3,2,0.08333333333333333
1,6,3,3,0.0
1,6,3,4,0.08333333333333333
1,6,3,5,0.8333333333333334
1,6,3,6,1.0833333333333333
1,6,3,7,2.9166666666666665
1,6,3,8,3.75
1,6,3,9,4.916666666666667
1,6,3,10,4.5
1,6,3,11,4.5
1,6,3,12,5.75
1,6,3,13,6.166666666666667
1,6,3,14,5.916666666666667
1,6,3,15,9.0
1,6,3,16,10.25
1,6,3,17,8.916666666666666
1,6,3,18,8.333333333333334
1,6,3,19,5.166666666666667
1,6,3,20,3.1666666666666665
1,6,3,21,2.5
1,6,3,22,2.1666666666666665
1,6,3,23,1.5
1,6,6,0,5.833333333333333
1,6,6,1,4.5
1,6,6,2,4.916666666666667
1,6,6,3,2.9166666666666665
1,6,6,4,0.8333333333333334
1,6,6,5,0.5833333333333334
1,6,6,6,0.9166666666666666
1,6,6,7,1.75
1,6,6,8,2.75
1,6,6,9,4.333333333333333
1,6,6,10,6.916666666666667
1,6,6,11,8.416666666666666
1,6,6,12,11.5
1,6,6,13,13.583333333333334
1,6,6,14,19.5
1,6,6,15,25.166666666666668
1,6,6,16,16.333333333333332
1,6,6,17,19.5
1,6,6,18,10.833333333333334
1,6,6,19,12.416666666666666
1,6,6,20,9.5
1,6,6,21,8.75
1,6,6,22,13.75
1,6,6,23,11.75
1,7,0,0,10.166666666666666
1,7,0,1,4.583333333333333
1,7,0,2,7.75
1,7,0,3,3.0
1,7,0,4,0.75
1,7,0,5,0.6666666666666666
1,7,0,6,0.4166666666666667
1,7,0,7,1.1666666666666667
1,7,0,8,1.75
1,7,0,9,2.6666666666666665
1,7,0,10,4.75
1,7,0,11,9.083333333333334
1,7,0,12,10.833333333333334
1,7,0,13,13.5
1,7,0,14,11.916666666666666
1,7,0,15,12.416666666666666
1,7,0,16,11.416666666666666
1,7,0,17,13.583333333333334
1,7,0,18,12.25
1,7,0,19,10.166666666666666
1,7,0,20,4.083333333333333
1,7,0,21,5.0
1,7,0,22,3.25
1,7,0,23,2.5833333333333335
1,7,1,0,1.5833333333333333
1,7,1,1,0.8333333333333334
1,7,1,2,0.4166666666666667
1,7,1,3,1.5
1,7,1,4,0.5
1,7,1,5,0.5
1,7,1,6,1.4166666666666667
1,7,1,7,10.25
1,7,4,0,1.0
1,7,4,1,0.2222222222222222
1,7,4,2,0.16666666666666666
1,7,4,3,0.16666666666666666
1,7,4,4,0.16666666666666666
1,7,4,5,0.25
1,7,4,6,0.5833333333333334
1,7,4,7,2.25
1,7,4,8,3.9166666666666665
1,7,4,9,5.083333333333333
1,7,4,10,3.9166666666666665
1,7,4,11,4.333333333333333
1,7,4,12,6.166666666666667
1,7,4,13,7.25
1,7,4,14,5.916666666666667
1,7,4,15,7.833333333333333
1,7,4,16,12.583333333333334
1,7,4,17,14.75
1,7,4,18,12.166666666666666
1,7,4,19,6.25
1,7,4,20,4.166666666666667
1,7,4,21,2.8333333333333335
1,7,4,22,2.75
1,7,4,23,2.25
1,8,1,0,1.5833333333333333
1,8,1,1,1.4166666666666667
1,8,1,2,1.0
1,8,1,3,1.0833333333333333
1,8,1,4,0.16666666666666666
1,8,1,5,0.5
1,8,1,6,1.4166666666666667
1,8,1,7,7.583333333333333
1,8,1,8,12.916666666666666
1,8,1,9,11.25
1,8,1,10,11.5
1,8,1,11,14.916666666666666
1,8,1,12,15.166666666666666
1,8,1,13,14.5
1,8,1,14,14.833333333333334
1,8,1,15,17.666666666666668
1,8,1,16,19.5
1,8,1,17,28.416666666666668
1,8,1,18,29.583333333333332
1,8,1,19,18.083333333333332
1,8,1,20,12.083333333333334
1,8,1,21,7.916666666666667
1,8,1,22,5.75
1,8,1,23,2.9166666666666665
1,8,2,14,17.0
1,8,2,15,18.333333333333332
1,8,2,16,20.666666666666668
1,8,2,17,21.583333333333332
1,8,2,18,24.25
1,8,2,19,18.75
1,8,2,20,9.083333333333334
1,8,2,21,7.25
1,8,2,22,6.083333333333333
1,8,2,23,4.083333333333333
1,8,5,0,1.3333333333333333
1,8,5,1,0.5833333333333334
1,8,5,2,0.25
1,8,5,3,0.25
1,8,5,4,0.25
1,8,5,5,0.0
1,8,5,6,0.6666666666666666
1,8,5,7,2.0833333333333335
1,8,5,8,3.5
1,8,5,9,4.25
1,8,5,10,6.083333333333333
1,8,5,11,5.5
1,8,5,12,8.833333333333334
1,8,5,13,8.583333333333334
1,8,5,14,8.75
1,8,5,15,15.583333333333334
1,8,5,16,17.75
1,8,5,17,13.25
1,8,5,18,13.083333333333334
1,8,5,19,11.0
1,8,5,20,6.25
1,8,5,21,5.5
1,8,5,22,4.333333333333333
1,8,5,23,3.75
1,9,2,0,2.1666666666666665
1,9,2,1,0.8333333333333334
1,9,2,2,0.75
1,9,2,3,0.25
1,9,2,4,0.16666666666666666
1,9,2,5,0.25
1,9,2,6,1.6666666666666667
1,9,2,7,10.0
1,9,2,8,13.25
1,9,2,9,10.166666666666666
1,9,2,10,13.75
1,9,2,11,12.25
1,9,2,12,14.75
1,9,2,13,15.916666666666666
1,9,2,14,15.833333333333334
1,9,2,15,17.25
1,9,2,16,20.0
1,9,2,17,20.833333333333332
1,9,2,18,24.5
1,9,2,19,21.166666666666668
1,9,2,20,11.25
1,9,2,21,8.083333333333334
1,9,2,22,7.666666666666667
1,9,2,23,3.75
1,9,3,0,1.1666666666666667
1,9,3,1,0.6666666666666666
1,9,3,2,0.4166666666666667
1,9,3,3,0.4166666666666667
1,9,3,4,0.08333333333333333
1,9,3,5,0.8333333333333334
1,9,3,6,3.3333333333333335
1,9,3,7,15.5
1,9,3,8,12.916666666666666
1,9,3,9,12.0
1,9,3,10,13.5
1,9,3,11,14.0
1,9,3,12,18.0
1,9,3,13,18.0
1,9,3,14,17.583333333333332
1,9,3,15,18.166666666666668
1,9,3,16,22.416666666666668
1,9,3,17,22.583333333333332
1,9,3,18,23.75
1,9,3,19,16.333333333333332
1,9,3,20,11.333333333333334
1,9,3,21,10.666666666666666
1,9,3,22,7.5
1,9,3,23,3.25
1,9,6,0,2.5833333333333335
1,9,6,1,2.1666666666666665
1,9,6,2,2.0833333333333335
1,9,6,3,0.9166666666666666
1,9,6,4,0.3333333333333333
1,9,6,5,0.4444444444444444
1,9,6,6,0.25
1,9,6,7,1.0833333333333333
1,9,6,8,1.3333333333333333
1,9,6,9,2.5833333333333335
1,9,6,10,4.083333333333333
1,9,6,11,7.25
1,9,6,12,11.083333333333334
1,9,6,13,13.416666666666666
1,9,6,14,12.333333333333334
1,9,6,15,10.916666666666666
1,9,6,16,17.583333333333332
1,9,6,17,22.333333333333332
1,9,6,18,15.0
1,9,6,19,8.166666666666666
1,9,6,20,6.666666666666667
1,9,6,21,4.583333333333333
1,9,6,22,4.25
1,9,6,23,5.083333333333333
1,10,0,0,3.9166666666666665
1,10,0,1,1.9166666666666667
1,10,0,2,1.8333333333333333
1,10,0,3,2.4166666666666665
1,10,0,4,0.9166666666666666
1,10,0,5,0.5833333333333334
1,10,0,6,0.4166666666666667
1,10,0,7,1.1666666666666667
1,10,0,8,0.8333333333333334
1,10,0,9,1.5833333333333333
1,10,0,10,2.5833333333333335
1,10,0,11,4.416666666666667
1,10,0,12,5.25
1,10,0,13,5.2
1,10,0,14,4.0
1,10,0,15,3.75
1,10,0,16,3.6666666666666665
1,10,0,17,3.4166666666666665
1,10,0,18,3.0
1,10,0,19,2.75
1,10,0,20,2.4166666666666665
1,10,0,21,1.5
1,10,0,22,1.5833333333333333
1,10,0,23,1.8333333333333333
1,10,3,0,2.0833333333333335
1,10,3,1,1.0
1,10,3,2,0.75
1,10,3,3,3.0833333333333335
1,10,3,4,0.0
1,10,3,5,0.25
1,10,3,6,1.4166666666666667
1,10,3,7,9.666666666666666
1,10,3,8,13.166666666666666
1,10,3,9,12.5
1,10,3,10,13.333333333333334
1,10,3,11,16.25
1,10,3,12,15.666666666666666
1,10,3,13,16.5
1,10,3,14,15.5
1,10,3,15,24.833333333333332
1,10,3,16,21.083333333333332
1,10,3,17,25.0
1,10,3,18,26.6
1,10,3,19,16.0
1,10,3,20,14.333333333333334
1,10,3,21,8.5
1,10,3,22,9.25
1,10,3,23,5.916666666666667
1,10,4,0,1.6666666666666667
1,10,4,1,0.9166666666666666
1,10,4,2,1.0
1,10,4,3,0.16666666666666666
1,10,4,4,0.4166666666666667
1,10,4,5,1.0833333333333333
1,10,4,6,2.5
1,10,4,7,10.166666666666666
1,10,4,8,13.75
1,10,4,9,9.916666666666666
1,10,4,10,14.583333333333334
1,10,4,11,17.416666666666668
1,10,4,12,16.333333333333332
1,10,4,13,16.0
1,10,4,14,18.333333333333332
1,10,4,15,18.166666666666668
1,10,4,16,23.166666666666668
1,10,4,17,20.083333333333332
1,10,4,18,23.666666666666668
1,10,4,19,16.833333333333332
1,10,4,20,14.166666666666666
1,10,4,21,10.333333333333334
1,10,4,22,7.25
1,10,4,23,5.833333333333333
1,11,1,0,0.6666666666666666
1,11,1,1,0.16666666666666666
1,11,1,2,0.0
1,11,1,3,0.08333333333333333
1,11,1,4,0.06666666666666667
1,11,1,5,0.25
1,11,1,6,0.9166666666666666
1,11,1,7,2.0833333333333335
1,11,1,8,2.5833333333333335
1,11,1,9,4.0
1,11,1,10,4.75
1,11,1,11,4.416666666666667
1,11,1,12,6.5
1,11,1,13,5.416666666666667
1,11,1,14,5.583333333333333
1,11,1,15,6.583333333333333
1,11,1,16,8.0
1,11,1,17,9.0
1,11,1,18,8.916666666666666
1,11,1,19,4.75
1,11,1,20,2.8333333333333335
1,11,1,21,2.25
1,11,1,22,1.9166666666666667
1,11,1,23,1.5
1,11,4,0,2.75
1,11,4,1,1.3333333333333333
1,11,4,2,0.9166666666666666
1,11,4,3,0.5
1,11,4,4,0.3333333333333333
1,11,4,5,0.75
1,11,4,6,2.5833333333333335
1,11,4,7,10.0
1,11,4,8,18.25
1,11,4,9,13.333333333333334
1,11,4,10,15.583333333333334
1,11,4,11,21.166666666666668
1,11,4,12,19.833333333333332
1,11,4,13,23.416666666666668
1,11,4,14,24.416666666666668
1,11,4,15,22.166666666666668
1,11,4,16,20.916666666666668
1,11,4,17,24.75
1,11,4,18,24.0
1,11,4,19,17.0
1,11,4,20,11.5
1,11,4,21,8.75
1,11,4,22,8.166666666666666
1,11,4,23,4.916666666666667
1,11,5,0,2.5
1,11,5,1,1.3333333333333333
1,11,5,2,1.0833333333333333
1,11,5,3,1.0833333333333333
1,11,5,4,0.6666666666666666
1,11,5,5,1.5833333333333333
1,11,5,6,3.0
1,11,5,7,10.833333333333334
1,11,5,8,9.25
1,11,5,9,13.333333333333334
1,11,5,10,11.833333333333334
1,11,5,11,15.333333333333334
1,11,5,12,17.5
1,11,5,13,17.25
1,11,5,14,17.5
