Month,Day,Hour,Day of Week,Occupancy
1,2,0,3,0.5
1,2,1,3,0.0
1,2,2,3,0.0
1,2,3,3,0.0
1,2,4,3,0.0
1,2,5,3,0.0
1,2,6,3,1.625
1,2,7,3,6.375
1,2,8,3,10.375
1,2,9,3,12.125
1,2,10,3,8.25
1,2,11,3,5.25
1,2,12,3,6.5
1,2,13,3,6.0
1,2,14,3,5.125
1,2,15,3,5.25
1,2,16,3,7.375
1,2,17,3,7.875
1,2,18,3,6.875
1,2,19,3,4.5
1,2,20,3,2.625
1,2,21,3,1.5
1,2,22,3,0.875
1,2,23,3,0.5
1,3,0,3,0.0
1,3,1,3,0.0
1,3,2,3,0.0
1,3,3,3,0.0
1,3,4,3,0.0
1,3,5,3,0.125
1,3,6,3,1.75
1,3,7,3,7.375
1,3,8,3,14.25
1,3,9,3,17.375
1,3,10,3,8.25
1,3,11,3,6.0
1,3,12,3,6.75
1,3,13,3,7.125
1,3,14,3,5.75
1,3,15,3,7.0
1,3,16,3,7.5
1,3,17,3,12.25
1,3,18,3,14.75
1,3,19,3,7.0
1,3,20,3,3.0
1,3,21,3,2.125
1,3,22,3,1.125
1,3,23,3,0.375
1,9,0,3,0.0
1,9,1,3,0.0
1,9,2,3,0.0
1,9,3,3,0.0
1,9,4,3,0.0
1,9,5,3,0.125
1,9,6,3,2.75
1,9,7,3,9.5
1,9,8,3,24.5
1,9,9,3,30.75
1,9,10,3,19.625
1,9,11,3,7.0
1,9,12,3,8.125
1,9,13,3,8.5
1,9,14,3,7.0
1,9,15,3,7.125
1,9,16,3,8.125
1,9,17,3,19.375
1,9,18,3,9.75
1,9,19,3,12.75
1,9,20,3,5.0
1,9,21,3,2.5
1,9,22,3,1.5
1,9,23,3,0.875
1,10,0,3,0.0
1,10,1,3,0.0
1,10,2,3,0.0
1,10,3,3,0.0
1,10,4,3,0.0
1,10,5,3,0.25
1,10,6,3,2.5
1,10,7,3,9.375
1,10,8,3,20.125
1,10,9,3,23.5
1,10,10,3,8.625
1,10,11,3,7.5
1,10,12,3,7.125
1,10,13,3,7.25
1,10,14,3,6.25
1,10,15,3,6.625
1,10,16,3,9.125
1,10,17,3,26.25
1,10,18,3,37.125
1,10,19,3,14.625
1,10,20,3,5.0
1,10,21,3,2.625
1,10,22,3,1.375
1,10,23,3,0.875
1,17,0,3,0.0
1,17,1,3,0.0
1,17,2,3,0.0
1,17,3,3,0.0
1,17,4,3,0.0
1,17,5,3,0.0
1,17,6,3,0.75
1,17,7,3,3.875
1,17,8,3,9.0
1,17,9,3,13.75
1,17,10,3,19.25
1,17,11,3,11.0
1,17,12,3,7.375
1,17,13,3,7.0
1,17,14,3,6.4
1,17,15,3,6.0
1,17,16,3,7.375
