mean,min,max,std
1.452127659574468,0.0,3.75,0.7207107687263
0.6743498817966903,0.0,3.25,0.47771786241818365
0.30957446808510636,0.0,1.125,0.2994736390507889
0.09414893617021276,0.0,1.625,0.20019272629037865
0.012411347517730497,0.0,1.75,0.1473765861866408
0.0017730496453900709,0.0,0.25,0.021053798026662972
0.0274822695035461,0.0,1.125,0.128601855287488
0.5365839243498818,0.0,4.625,0.6496273145940769
1.4115248226950354,0.0,25.75,2.222226660118838
2.495035460992908,0.0,15.875,1.5067355318765305
3.703368794326241,0.0,11.75,1.6336834472676756
5.956737588652482,0.0,21.0,2.7805556989447533
7.054373522458628,1.125,21.25,3.3489587018159153
10.606796690307329,1.75,32.125,6.110319757794752
8.304787234042552,2.25,31.0,4.6590512090653196
6.806855791962175,1.875,24.375,2.776188484894114
6.5774231678487,0.625,18.0,2.4736186499146235
6.109397163120567,0.75,13.375,1.7803103135586573
6.071217494089835,0.375,20.0,2.0166935936753343
5.495271867612294,0.125,10.75,1.680272531089722
3.376713947990544,0.0,5.875,1.0984894560486667
2.500709219858156,0.0,5.5,0.9695495238143708
1.5328014184397163,0.0,6.0,0.9528675460333864
0.8652482269503546,0.0,6.875,1.1100264356956833
0.1681338028169014,0.0,2.75,0.3969759845688945
0.030809859154929578,0.0,1.125,0.12472187117877373
0.01584507042253521,0.0,1.5,0.13632976789324042
0.006161971830985915,0.0,0.875,0.0734283688509603
0.014084507042253521,0.0,1.875,0.15762152771560317
0.28080985915492956,0.0,1.125,0.2837571392974373
2.076643192488263,0.0,6.125,1.1946377761935736
7.124295774647887,0.0,29.25,4.571037934476342
15.283392018779344,0.0,36.125,10.48754611052974
16.654929577464788,0.375,40.75,11.196923747773099
7.59524647887324,0.0,24.25,4.071697779938698
5.833861502347418,0.375,21.0,2.3984489452920426
6.634976525821596,2.0,29.5,2.905871993123958
6.776232394366198,2.125,31.25,3.1904380180514806
6.1897887323943666,2.0,29.625,2.5097472304443733
6.823708920187793,2.0,32.625,3.3861123419827965
7.743720657276995,1.875,21.0,2.6500561620756193
13.044894366197184,0.0,34.0,7.990940425849238
11.21830985915493,0.0,36.5,7.5696739553187635
6.679577464788732,0.0,35.5,4.473485341072833
3.550176056338028,1.125,8.0,1.0416907648795783
2.187323943661972,0.25,5.375,0.673041856889126
1.2279929577464788,0.0,4.75,0.617831101073425
0.5176056338028169,0.0,3.75,0.4620477029256934
0.03345070422535211,0.0,1.75,0.16234341402568425
0.016725352112676055,0.0,2.125,0.1794080552112915
0.013204225352112676,0.0,1.75,0.1471566704426906
0.023767605633802816,0.0,2.25,0.21050276410283922
0.01936619718309859,0.0,2.25,0.19140193788984794
0.34683098591549294,0.0,1.25,0.3120632999033029
