Month,Day,Hour,Day of Week,Volume,Occupancy
3,27,18,6,1508,15.75
3,28,18,0,1462,7.625
3,28,18,4,1165,27.125
3,29,18,4,1015,27.125
3,29,18,5,1454,16.875
3,30,18,2,1617,8.75
3,30,18,6,1362,11.0
3,31,18,0,1502,7.75
3,31,18,3,1624,10.75
4,1,18,1,1451,9.625
4,1,18,4,1502,11.375
4,2,18,1,1540,8.75
4,2,18,2,1323,11.875
4,2,18,5,1610,8.5
4,3,18,2,1237,21.75
4,3,18,3,1385,13.0
4,3,18,6,1487,7.5
4,4,18,0,1047,4.75
4,4,18,3,1358,37.125
4,4,18,4,1439,33.625
4,4,18,6,439,1.75
4,5,18,0,440,1.75
4,5,18,1,1452,8.125
4,5,18,4,1352,27.25
4,5,18,5,1319,33.25
4,6,18,1,464,1.875
4,6,18,2,1703,17.0
4,6,18,5,1502,27.625
4,6,18,6,1770,9.25
4,7,18,0,1511,7.625
4,7,18,2,545,2.25
4,7,18,6,699,19.75
4,8,18,0,1342,6.625
4,8,18,1,1496,15.125
4,8,18,3,522,2.875
4,8,18,4,1683,14.625
4,9,18,1,1661,9.0
4,9,18,2,1537,35.75
4,9,18,4,424,1.625
4,10,18,2,1214,36.875
4,10,18,3,1289,18.375
4,10,18,5,591,2.625
4,11,18,0,1320,6.5
4,11,18,3,1495,37.375
4,11,18,4,1642,29.375
4,11,18,6,445,1.75
4,12,18,0,451,1.875
4,12,18,1,1467,8.0
4,12,18,4,1530,35.375
4,12,18,5,1223,32.25
4,13,18,1,489,2.0
4,13,18,2,1612,8.875
4,13,18,5,1578,29.875
4,13,18,6,1650,19.0
4,14,18,0,1513,7.875
4,14,18,2,575,2.375
4,14,18,6,1595,15.625
4,15,18,0,1372,6.875
4,15,18,1,1402,8.0
4,15,18,3,581,2.5
4,16,18,1,1535,17.25
4,16,18,4,642,2.875
4,16,18,5,1470,9.5
4,17,18,2,1570,24.125
4,17,18,5,577,2.375
4,17,18,6,1683,9.0
4,18,18,0,1205,5.875
4,18,18,3,1434,31.875
4,18,18,6,560,2.375
4,19,18,0,628,2.875
4,19,18,1,1469,7.5
4,19,18,4,1307,30.5
4,20,18,1,561,2.375
4,20,18,2,1687,10.875
4,20,18,5,1528,30.625
4,21,18,2,572,2.375
4,21,18,6,1224,12.375
4,22,18,0,1880,7.7
4,22,18,4,1738,12.25
4,23,18,1,1200,29.25
4,23,18,2,1373,9.5
4,23,18,5,1629,8.25
4,24,18,2,1613,21.75
4,24,18,3,1290,13.75
4,24,18,5,739,3.125
4,24,18,6,1718,10.625
4,25,18,0,1027,5.125
4,25,18,3,1117,26.375
4,25,18,4,1310,30.375
4,25,18,6,778,3.625
4,26,18,0,665,3.0
4,26,18,1,1504,8.0
4,26,18,4,1370,37.625
4,26,18,5,1379,32.125
4,27,18,1,577,2.625
4,27,18,2,1576,8.375
4,27,18,5,1256,10.375
4,27,18,6,1616,22.375
4,28,18,0,1459,7.75
4,28,18,2,596,2.5
4,28,18,3,1724,14.0
4,28,18,6,1729,15.875
4,29,18,0,1449,7.75
4,29,18,1,1353,15.375
4,29,18,3,640,2.625
4,30,18,1,1323,9.875
4,30,18,2,1401,16.5
4,30,18,4,709,3.125
5,1,18,2,1618,19.75
5,1,18,3,1456,12.75
5,1,18,5,902,4.125
5,2,18,3,1491,33.25
5,2,18,4,1327,24.5
5,2,18,6,833,4.0
5,3,18,0,714,3.375
5,3,18,1,1549,8.625
5,3,18,4,1297,26.75
5,4,18,1,689,3.0
5,4,18,2,1571,21.0
5,4,18,5,1660,13.25
5,5,18,2,715,3.375
5,5,18,3,1643,18.5
5,5,18,6,1799,12.25
5,6,18,0,1274,6.125
5,6,18,3,816,3.75
5,6,18,4,1714,22.5
5,7,18,1,1417,12.75
5,7,18,4,742,3.25
5,8,18,2,1436,16.375
5,8,18,3,1386,6.875
5,8,18,5,881,4.0
5,9,18,0,1319,6.625
5,9,18,3,1419,33.625
5,9,18,4,1624,22.625
5,9,18,6,860,3.875
5,10,18,0,832,3.75
5,10,18,1,1532,8.0
5,10,18,4,1013,17.0
5,10,18,5,1301,15.375
5,11,18,1,712,3.125
5,11,18,2,1600,9.375
5,11,18,5,1205,24.125
5,11,18,6,1596,10.125
5,12,18,0,1359,7.0
5,12,18,2,486,2.0
5,12,18,3,1501,9.75
5,12,18,6,1634,10.625
5,13,18,0,1117,5.625
5,13,18,1,1642,10.875
5,13,18,3,772,3.25
5,13,18,4,1807,14.0
5,14,18,1,1020,11.375
5,14,18,2,1643,12.625
5,14,18,4,856,3.875
5,15,18,2,1575,23.2
5,15,18,3,1564,26.375
5,16,18,3,1538,34.875
5,16,18,4,1571,28.375
5,17,18,4,1356,36.125
5,17,18,5,1413,16.75
5,18,18,1,821,3.75
5,18,18,2,1511,8.375
5,18,18,5,1194,12.375
5,18,18,6,1608,11.0
5,19,18,0,1277,6.25
5,19,18,2,857,3.875
5,19,18,6,1847,10.0
5,20,18,0,1107,5.25
5,20,18,1,1535,8.5
5,21,18,1,1512,8.25
5,21,18,2,1437,9.5
5,21,18,5,1593,24.125
5,22,18,2,1103,21.875
5,22,18,6,1504,11.125
5,23,18,0,1226,6.125
5,23,18,3,1401,37.625
5,23,18,4,1481,27.5
5,23,18,6,1043,5.25
5,24,18,0,974,7.5
5,24,18,1,1429,10.125
5,24,18,5,1739,10.0
5,25,18,1,666,2.875
5,25,18,2,1699,15.0
5,25,18,6,1717,9.75
5,26,18,0,1495,8.0
5,26,18,2,1025,5.0
5,26,18,3,1454,19.125
5,27,18,1,1119,5.625
5,27,18,3,894,4.0
5,27,18,4,1807,16.5
5,28,18,1,952,4.5
5,28,18,2,1464,17.875
5,28,18,4,1138,5.375
5,29,18,3,1445,24.0
5,29,18,5,1239,6.0
5,30,18,0,1181,11.875
5,30,18,4,1463,34.5
5,30,18,6,1217,6.0
5,31,18,0,749,3.25
5,31,18,1,1331,6.625
5,31,18,4,1581,28.875
5,31,18,5,1328,10.75
6,1,18,1,937,4.125
6,1,18,2,1611,12.125
6,1,18,5,1246,26.0
6,1,18,6,1446,11.75
6,2,18,2,895,4.125
6,2,18,3,1652,26.625
6,2,18,6,1617,10.375
6,3,18,0,1357,7.0
6,3,18,3,1074,5.125
6,3,18,4,1428,20.625
6,4,18,4,1029,4.625
6,4,18,5,1529,20.375
6,5,18,5,1173,5.875
6,5,18,6,1546,9.5
6,6,18,0,1362,6.625
6,6,18,3,1451,38.25
6,6,18,6,1020,4.875
6,7,18,0,883,4.0
6,7,18,1,1622,9.625
6,7,18,4,1349,21.0
6,8,18,1,855,4.0
6,8,18,2,1603,30.25
6,8,18,5,1560,10.25
6,8,18,6,1750,9.375
6,9,18,2,933,4.375
6,9,18,3,1564,17.375
6,9,18,6,1544,7.875
6,10,18,0,1295,6.375
6,10,18,3,1017,4.75
6,10,18,4,1644,26.75
6,11,18,1,1169,14.0
6,11,18,4,1162,5.75
6,11,18,5,1145,8.166666666666666
6,12,18,2,1291,31.75
6,12,18,3,1171,30.625
6,12,18,5,1190,6.125
6,12,18,6,1750,10.75
6,13,18,0,1377,7.0
6,13,18,3,1194,38.125
6,13,18,4,1236,31.5
6,13,18,6,1214,6.125
6,14,18,0,1005,4.875
6,14,18,4,1424,30.75
6,14,18,5,1581,8.75
6,15,18,1,979,4.625
6,15,18,5,1236,11.0
6,15,18,6,1510,10.0
6,16,18,0,1232,6.625
6,16,18,2,1070,5.125
6,17,18,1,1248,13.75
6,17,18,4,1767,16.5
6,18,18,2,1269,26.0
6,18,18,5,1300,19.5
6,19,18,5,1204,5.875
6,20,18,0,1315,6.625
6,20,18,3,1204,24.375
6,20,18,4,1294,23.25
6,21,18,0,889,4.125
6,21,18,1,1555,10.375
6,21,18,4,1169,24.75
6,21,18,5,1591,12.875
6,22,18,1,906,4.375
6,22,18,2,1573,21.75
6,22,18,5,1309,9.875
6,22,18,6,1653,8.75
6,23,18,0,1260,6.25
6,23,18,2,914,4.125
6,23,18,3,1265,33.0
6,23,18,6,18,0.0
6,24,18,0,1148,5.625
6,24,18,1,1341,10.75
6,24,18,3,961,4.5
6,24,18,4,1731,24.75
6,25,18,1,1065,27.5
6,25,18,2,1401,29.25
6,25,18,4,1070,5.25
6,26,18,2,1315,33.5
6,26,18,3,1428,15.625
6,26,18,5,1016,4.625
6,27,18,0,985,6.666666666666667
6,27,18,3,935,15.0
6,27,18,4,920,38.875
6,27,18,6,1074,5.25
6,28,18,0,744,3.25
6,28,18,1,1469,16.5
6,28,18,5,1446,15.75
6,29,18,1,934,4.375
6,29,18,2,1691,12.0
6,29,18,5,1511,10.125
6,29,18,6,1707,9.25
6,30,18,0,1170,5.875
6,30,18,2,942,4.375
6,30,18,3,1765,9.75
6,30,18,6,1671,9.0
7,1,18,0,1167,5.5
7,1,18,1,1431,11.25
7,1,18,3,1000,4.5
7,1,18,4,1644,18.0
7,2,18,1,1628,8.5
7,2,18,2,1413,19.625
7,2,18,4,1051,4.875
7,3,18,2,1512,8.125
7,3,18,3,1345,7.125
7,3,18,5,920,4.25
7,4,18,0,1342,6.75
7,4,18,3,912,4.375
7,4,18,4,1169,5.875
7,4,18,6,645,2.875
7,5,18,0,681,3.0
7,5,18,1,1071,5.125
7,5,18,4,1541,8.25
7,5,18,5,1429,7.375
7,6,18,1,839,3.875
7,6,18,2,1520,8.125
7,6,18,5,1549,8.375
7,6,18,6,1621,8.875
7,7,18,0,1161,5.75
7,7,18,2,921,4.25
7,7,18,3,1489,15.125
7,7,18,6,1436,7.25
7,8,18,0,1254,6.125
7,8,18,1,1283,28.0
7,8,18,3,963,4.5
7,8,18,4,1571,17.25
7,9,18,1,7,0.0
7,9,18,2,1379,20.125
7,9,18,4,1045,4.875
7,9,18,5,1804,11.375
7,10,18,2,1410,23.75
7,10,18,3,1489,31.5
7,10,18,5,1292,6.5
7,10,18,6,1654,10.625
7,11,18,0,1551,8.0
7,11,18,3,1178,32.0
7,11,18,4,1209,20.5
7,11,18,6,890,4.125
7,12,18,0,823,3.875
7,12,18,1,1573,12.125
7,12,18,4,1278,12.75
7,12,18,5,1641,9.875
7,13,18,1,807,3.75
7,13,18,2,1692,14.25
7,13,18,5,1544,29.125
7,13,18,6,1755,12.125
7,14,18,0,1304,6.5
7,14,18,2,902,4.0
7,14,18,3,1496,31.375
7,14,18,6,1645,8.75
7,15,18,0,1210,5.75
7,15,18,1,1398,17.25
7,15,18,3,1026,5.0
7,15,18,4,1528,19.625
7,16,18,1,1329,12.0
7,16,18,2,1445,25.25
7,16,18,4,1126,5.5
7,17,18,2,1566,24.0
7,17,18,5,1137,5.375
7,17,18,6,1717,9.25
7,18,18,0,1470,7.625
7,18,18,3,1212,36.375
7,18,18,4,1184,35.875
7,18,18,6,1024,4.875
7,19,18,0,820,3.5
7,19,18,1,1521,13.25
7,19,18,4,1006,26.625
7,19,18,5,1470,17.75
7,20,18,1,883,4.25
7,20,18,2,1579,19.75
7,20,18,5,1645,8.625
7,20,18,6,1748,9.5
7,21,18,0,1337,6.75
7,21,18,2,948,4.375
7,21,18,6,1642,8.5
7,22,18,0,1162,5.75
7,22,18,1,1300,24.125
7,22,18,4,2051,8.5
7,23,18,1,1489,9.375
7,23,18,2,1517,23.0
7,23,18,4,1146,5.375
7,23,18,5,1606,20.75
7,24,18,2,1269,12.75
7,24,18,3,1430,27.875
7,24,18,5,1221,6.0
7,24,18,6,1699,9.375
7,25,18,0,1366,6.75
7,25,18,3,1505,27.0
7,25,18,4,1409,23.375
7,25,18,6,982,5.75
7,26,18,0,680,3.0
7,26,18,1,1438,7.25
7,26,18,4,1480,25.0
7,26,18,5,1575,8.5
7,27,18,1,941,4.5
7,27,18,2,1253,10.333333333333334
7,27,18,5,1199,11.125
7,27,18,6,1641,8.875
7,28,18,2,1037,5.25
7,28,18,3,1444,23.0
7,28,18,6,1760,11.0
7,29,18,0,1188,5.75
7,29,18,3,1175,5.625
7,29,18,4,1405,35.5
7,30,18,1,1526,15.875
7,30,18,4,1240,6.0
7,30,18,5,1554,9.875
7,31,18,2,1320,39.5
7,31,18,5,1396,7.125
7,31,18,6,1603,10.125
8,1,18,0,1343,6.75
8,1,18,3,1016,15.166666666666666
8,1,18,6,1136,5.5
8,2,18,0,854,3.875
8,2,18,1,1299,11.875
8,2,18,4,1359,33.875
8,2,18,5,1578,12.5
8,3,18,1,1196,5.875
8,3,18,2,1712,8.75
8,3,18,5,1680,9.125
8,3,18,6,1853,10.375
8,4,18,0,1285,6.5
8,4,18,2,997,4.75
8,4,18,3,1624,8.75
8,4,18,6,1629,8.625
8,5,18,0,1248,6.375
8,5,18,1,1508,9.125
8,5,18,3,1154,5.625
8,6,18,1,1338,10.375
8,6,18,2,1468,20.625
8,6,18,4,1194,5.75
8,7,18,2,1290,10.8
8,7,18,3,1402,28.375
8,7,18,5,1253,6.125
8,8,18,3,1146,32.875
8,8,18,4,1453,15.125
8,8,18,6,1141,5.75
8,9,18,0,855,4.0
8,9,18,4,1669,17.625
8,9,18,5,1442,16.625
8,10,18,1,878,4.25
8,10,18,5,1728,11.75
8,10,18,6,1804,10.125
8,11,18,0,1177,5.875
8,11,18,2,1077,5.375
8,11,18,6,1278,24.25
8,12,18,0,1036,5.0
8,12,18,1,1168,18.625
8,12,18,3,1123,5.375
8,12,18,4,1701,9.625
8,13,18,2,1120,29.625
8,13,18,4,1232,6.25
8,13,18,5,1779,9.625
8,14,18,3,1305,31.25
8,14,18,5,1353,6.75
8,14,18,6,1591,8.375
8,15,18,0,922,4.25
8,15,18,4,1461,35.0
8,15,18,6,1241,6.25
8,16,18,1,1602,8.75
8,16,18,5,1556,17.75
8,17,18,2,1568,8.375
8,18,18,2,1141,5.5
8,19,18,1,1324,10.375
8,19,18,4,1530,13.75
8,19,18,6,1392,7.125
8,20,18,0,1083,5.25
8,20,18,2,828,27.375
8,21,18,1,1314,6.625
8,22,18,0,1387,7.125
8,22,18,2,1291,21.5
8,22,18,4,1416,30.25
8,22,18,6,1277,6.5
8,23,18,0,964,4.375
8,23,18,1,1452,7.75
8,23,18,3,932,37.75
8,23,18,5,1526,10.875
8,24,18,1,1111,5.375
8,24,18,2,1525,8.375
8,24,18,4,1162,20.125
8,24,18,6,1635,15.5
8,25,18,0,1208,6.0
8,25,18,2,1203,6.125
8,25,18,5,1181,5.625
8,26,18,1,1388,8.625
8,26,18,3,1447,7.625
8,26,18,6,806,4.25
8,27,18,0,603,2.875
8,27,18,2,1308,30.5
8,27,18,4,1559,8.625
8,27,18,5,1807,9.75
8,28,18,1,1250,6.375
8,28,18,3,1406,21.75
8,28,18,5,1334,6.875
8,28,18,6,1478,8.125
8,29,18,0,1214,6.0
8,29,18,2,1256,12.875
8,29,18,4,1326,13.0
8,29,18,6,1264,6.5
8,30,18,0,1232,4.8
8,30,18,1,1208,6.25
8,30,18,3,1321,13.75
8,30,18,5,1687,9.75
8,31,18,1,1024,4.875
8,31,18,2,1404,7.25
8,31,18,4,1199,6.25
8,31,18,6,1652,9.0
9,1,18,0,1432,7.5
9,1,18,2,1104,5.25
9,1,18,3,1372,12.875
9,1,18,5,1324,6.875
9,2,18,1,1031,5.125
9,2,18,3,1296,6.25
9,2,18,4,1631,18.5
9,2,18,6,1163,5.5
9,3,18,0,1173,5.5
9,3,18,2,1417,13.125
9,3,18,4,1265,6.375
9,3,18,5,1711,9.875
9,4,18,1,858,3.875
9,4,18,3,1526,13.625
9,4,18,5,1320,6.625
9,4,18,6,1600,8.625
9,5,18,0,1469,7.875
9,5,18,2,1293,6.5
9,5,18,4,1061,27.375
9,5,18,6,1388,7.125
9,6,18,0,1150,5.875
9,6,18,1,1034,4.75
9,6,18,3,1137,6.5
9,6,18,5,1238,31.875
9,7,18,1,940,4.5
9,7,18,2,1578,8.5
9,7,18,4,1252,8.875
9,7,18,5,1464,11.25
9,7,18,6,1631,9.25
9,8,18,0,1066,5.375
9,8,18,2,1195,5.75
9,8,18,5,1209,20.25
9,8,18,6,1671,8.75
9,9,18,0,978,4.5
9,9,18,1,891,9.0
9,9,18,6,1343,6.75
9,10,18,0,965,4.375
9,10,18,1,1299,20.25
9,10,18,2,1258,24.875
9,11,18,1,1197,6.0
9,11,18,3,1344,19.625
9,12,18,2,1200,23.375
9,12,18,4,1405,27.25
9,12,18,6,1512,8.0
9,13,18,0,910,4.375
9,13,18,3,1159,9.875
9,13,18,5,1285,21.125
9,14,18,1,1158,5.5
9,14,18,4,1175,23.0
9,14,18,6,1459,13.625
9,15,18,0,1214,6.125
9,15,18,5,1439,7.625
9,16,18,0,1131,5.5
9,16,18,1,1221,18.875
9,17,18,1,1598,11.25
9,17,18,2,1541,11.75
9,18,18,2,1417,30.875
9,19,18,2,906,9.5
9,19,18,3,1311,31.0
9,20,18,3,1387,28.75
9,20,18,4,1047,36.375
9,21,18,4,1569,13.625
9,21,18,5,1458,16.0
9,21,18,6,1782,11.125
9,22,18,0,1132,5.75
9,22,18,5,1548,21.5
9,22,18,6,1460,9.5
9,23,18,0,1188,5.875
9,23,18,1,1385,17.375
9,23,18,6,1394,11.0
9,24,18,0,1325,6.75
9,24,18,1,1584,9.625
9,24,18,2,1394,14.0
9,25,18,1,779,13.5
9,25,18,2,1487,22.5
9,25,18,3,1345,18.125
9,26,18,2,1108,19.625
9,26,18,3,1257,32.75
9,26,18,4,1604,9.375
9,27,18,3,1363,24.625
9,27,18,4,1343,44.75
9,27,18,5,1618,20.875
9,28,18,4,1421,26.875
9,28,18,5,1682,14.125
9,28,18,6,1840,15.25
9,29,18,0,1170,5.75
9,29,18,5,1283,11.875
9,29,18,6,1234,20.375
9,30,18,0,1259,6.625
9,30,18,1,1496,10.375
9,30,18,6,1638,14.625
10,1,18,0,1298,6.75
10,1,18,1,1541,9.375
10,1,18,2,1274,13.75
10,2,18,1,1174,9.625
10,2,18,2,903,14.125
10,2,18,3,1456,21.875
10,3,18,2,971,21.625
10,3,18,3,1194,25.125
10,3,18,4,1407,22.25
10,4,18,3,1145,38.625
10,4,18,4,1335,37.875
10,4,18,5,1334,32.125
10,5,18,4,1151,44.875
10,5,18,5,1491,19.0
10,5,18,6,1476,8.875
10,6,18,0,1485,9.0
10,6,18,5,1434,36.875
10,6,18,6,1464,11.5
10,7,18,0,1307,7.0
10,7,18,6,1458,8.0
10,8,18,0,1227,6.75
10,8,18,1,1472,9.375
10,9,18,1,1355,8.75
10,9,18,2,1308,9.125
10,10,18,2,1505,14.625
10,10,18,3,1239,26.375
10,11,18,3,1524,26.375
10,11,18,4,1332,24.125
10,12,18,4,1274,38.75
10,12,18,5,1073,39.25
10,13,18,5,1426,36.25
10,13,18,6,1650,10.125
10,14,18,0,1278,7.0
10,14,18,6,1516,8.875
10,15,18,0,1285,7.125
10,15,18,1,1348,12.625
10,15,18,2,1576,13.5
10,16,18,1,1423,7.875
10,16,18,2,1319,10.25
10,17,18,2,1407,8.75
10,17,18,3,1068,36.25
10,18,18,3,1465,12.0
10,18,18,4,1506,9.75
10,18,18,5,1590,10.5
10,19,18,4,1637,11.625
10,19,18,5,1399,7.625
10,19,18,6,2280,11.2
10,20,18,0,1390,7.25
10,20,18,5,1387,10.0
10,20,18,6,1501,7.875
10,21,18,0,1269,6.5
10,21,18,1,1142,22.625
10,21,18,6,1349,10.5
10,22,18,0,1289,6.25
10,22,18,1,1521,8.375
10,23,18,1,1570,10.125
10,23,18,3,1440,11.5
10,24,18,2,1464,14.875
10,24,18,4,1158,35.25
10,25,18,3,1131,36.375
10,25,18,4,1329,36.125
10,25,18,5,1508,18.75
10,26,18,4,1001,45.875
10,26,18,5,1574,11.875
10,26,18,6,1745,11.25
10,27,18,0,1347,6.75
10,27,18,5,1350,25.0
10,27,18,6,1822,15.25
10,28,18,0,1298,6.875
10,28,18,1,1370,19.75
10,28,18,6,1504,8.0
10,29,18,0,1325,6.75
10,29,18,1,1502,11.125
10,29,18,2,1214,36.125
10,30,18,1,1518,11.0
10,30,18,2,1302,24.125
10,30,18,3,1370,16.875
10,31,18,2,1052,38.75
10,31,18,3,1068,8.25
10,31,18,4,1236,10.625
11,1,18,4,1341,39.875
11,1,18,5,1508,9.0
11,2,18,4,1148,39.5
11,2,18,5,1513,15.625
11,2,18,6,1775,10.0
11,3,18,0,1227,6.375
11,3,18,5,1359,28.125
11,3,18,6,1472,8.125
11,4,18,0,1292,6.75
11,4,18,6,1354,10.5
11,5,18,1,1337,20.5
11,6,18,2,1386,27.25
11,6,18,3,1364,24.5
11,7,18,2,1253,34.625
11,7,18,3,1280,23.375
11,7,18,4,1495,17.5
11,8,18,3,784,43.375
11,8,18,4,1155,40.5
11,8,18,5,1581,15.75
11,9,18,4,1600,27.75
11,9,18,5,1103,26.5
11,9,18,6,1508,8.625
11,10,18,0,1371,7.125
11,10,18,5,1352,11.5
11,10,18,6,1815,10.75
11,11,18,0,1106,5.625
11,11,18,1,1513,9.5
11,11,18,6,1604,9.25
11,12,18,0,1213,6.375
11,12,18,1,1481,8.125
11,12,18,2,1526,18.625
11,13,18,1,1203,33.25
11,13,18,2,1513,10.25
11,13,18,3,1202,28.75
11,14,18,2,1131,34.5
11,14,18,3,1453,23.5
11,14,18,4,1479,12.375
11,15,18,3,1337,32.125
11,15,18,4,1289,35.0
11,15,18,5,1257,16.625
11,16,18,4,1111,38.875
11,16,18,5,1368,18.125
11,16,18,6,1292,16.25
11,17,18,0,1380,8.0
11,17,18,5,1180,31.5
11,17,18,6,1859,12.875
11,18,18,6,1725,9.75
11,19,18,0,1104,5.5
11,20,18,1,1425,7.875
11,21,18,2,1072,24.75
11,22,18,3,940,4.375
11,23,18,4,490,2.125
11,24,18,5,1335,7.0
11,25,18,6,1372,7.25
11,26,18,0,1074,5.625
11,27,18,1,1507,12.625
11,28,18,2,742,8.75
11,29,18,3,1309,34.625
11,30,18,4,1250,37.625
12,1,18,5,1512,31.0
12,2,18,6,1772,33.5
12,3,18,0,1367,7.125
12,4,18,1,1286,36.5
12,5,18,2,1139,36.875
12,6,18,3,1231,34.25
12,7,18,4,1040,33.125
12,8,18,5,1579,16.125
12,9,18,6,1721,29.625
12,10,18,0,1415,20.0
12,10,18,1,1237,36.125
12,11,18,1,1239,34.25
12,11,18,2,1147,37.375
12,12,18,2,1351,36.875
