KITS ID,Direction,Year,Month,Day,Hour,Day of Week,Occupancy
20,WB,2017,12,31,14,0,3.75
20,WB,2017,12,31,15,0,4.625
20,WB,2017,12,31,16,0,4.125
20,WB,2017,12,31,17,0,3.75
20,WB,2017,12,31,18,0,5.125
20,WB,2017,12,31,19,0,5.625
20,WB,2017,12,31,20,0,6.125
20,WB,2017,12,31,21,0,6.625
20,WB,2017,12,31,22,0,7.375
20,WB,2017,12,31,23,0,4.875
