Month,Day,Hour,Day of Week,Occupancy
1,3,0,4,0.0
1,3,1,4,0.0
1,3,2,4,0.0
1,3,3,4,0.0
1,3,4,4,0.0
1,3,5,4,0.25
1,3,6,4,1.75
1,3,7,4,6.375
1,3,8,4,11.375
1,3,9,4,13.5
1,3,10,4,9.25
1,3,11,4,6.375
1,3,12,4,6.625
1,3,13,4,6.25
1,3,14,4,6.375
1,3,15,4,6.5
1,3,16,4,7.5
1,3,17,4,7.375
1,3,18,4,8.0
1,3,19,4,7.125
1,3,20,4,4.125
1,3,21,4,2.25
1,3,22,4,1.5
1,3,23,4,1.0
1,4,0,4,0.0
1,4,1,4,0.0
1,4,2,4,0.0
1,4,3,4,0.0
1,4,4,4,0.0
1,4,5,4,0.25
1,4,6,4,2.0
1,4,7,4,8.25
1,4,8,4,20.5
1,4,9,4,17.25
1,4,10,4,8.125
1,4,11,4,6.7
1,4,12,4,6.5
1,4,13,4,7.375
1,4,14,4,6.125
1,4,15,4,6.5
1,4,16,4,8.25
1,4,17,4,21.125
1,4,18,4,10.25
1,4,19,4,7.0
1,4,20,4,3.375
1,4,21,4,2.125
1,4,22,4,1.25
1,4,23,4,0.75
1,10,0,4,0.0
1,10,1,4,0.0
1,10,2,4,0.0
1,10,3,4,0.0
1,10,4,4,0.0
1,10,5,4,0.375
1,10,6,4,2.125
1,10,7,4,8.375
1,10,8,4,24.125
1,10,9,4,28.75
1,10,10,4,11.375
1,10,11,4,7.875
1,10,12,4,8.25
1,10,13,4,11.875
1,10,14,4,6.75
1,10,15,4,7.625
1,10,16,4,7.625
1,10,17,4,18.75
1,10,18,4,20.875
1,10,19,4,9.875
1,10,20,4,5.75
1,10,21,4,3.0
1,10,22,4,1.875
1,10,23,4,1.0
1,11,0,4,0.0
1,11,1,4,0.0
1,11,2,4,0.0
1,11,3,4,0.0
1,11,4,4,0.0
1,11,5,4,0.375
1,11,6,4,2.625
1,11,7,4,9.375
1,11,8,4,25.875
1,11,9,4,25.75
1,11,10,4,9.375
1,11,11,4,7.25
1,11,12,4,7.875
1,11,13,4,7.875
1,11,14,4,6.75
1,11,15,4,8.125
1,11,16,4,9.0
1,11,17,4,22.75
1,11,18,4,34.5
1,11,19,4,11.625
1,11,20,4,3.875
1,11,21,4,2.25
1,11,22,4,1.5
1,11,23,4,0.5
1,18,0,4,0.0
1,18,1,4,0.0
1,18,2,4,0.0
1,18,3,4,0.0
1,18,4,4,0.0
1,18,5,4,0.375
1,18,6,4,2.5
1,18,7,4,10.5
1,18,8,4,26.75
1,18,9,4,20.5
1,18,10,4,9.25
1,18,11,4,6.625
1,18,12,4,7.5
1,18,13,4,7.5
1,18,14,4,6.25
1,18,15,4,7.0
1,18,16,4,8.75
1,18,17,4,15.0
1,18,18,4,15.125
1,18,19,4,8.0
1,18,20,4,4.875
1,18,21,4,2.25
1,18,22,4,1.5
1,18,23,4,0.5
1,21,0,4,0.0
1,21,1,4,0.0
1,21,2,4,0.0
1,21,3,4,0.0
1,21,4,4,0.0
1,21,5,4,0.125
1,21,6,4,1.25
1,21,7,4,3.25
1,21,8,4,5.875
1,21,9,4,5.625
1,21,10,4,4.375
1,21,11,4,4.125
1,21,12,4,4.75
1,21,13,4,4.75
1,21,14,4,4.75
1,21,15,4,5.375
1,21,16,4,9.125
1,21,17,4,10.75
1,21,18,4,8.375
1,21,19,4,5.625
1,21,20,4,2.75
1,21,21,4,1.5
1,21,22,4,1.0
