Month,Day,Hour,Day of Week,Occupancy
1,1,0,1,1.25
1,1,1,1,1.125
1,1,2,1,1.5
1,1,3,1,0.875
1,1,4,1,0.125
1,1,5,1,0.0
1,1,6,1,0.0
1,1,7,1,0.0
1,1,8,1,0.0
1,1,9,1,0.375
1,1,10,1,1.125
1,1,11,1,1.625
1,1,12,1,2.75
1,1,13,1,3.125
1,1,14,1,3.375
1,1,15,1,3.0
1,1,16,1,3.125
1,1,17,1,2.5
1,1,18,1,2.375
1,1,19,1,2.625
1,1,20,1,1.75
1,1,21,1,1.5
1,1,22,1,0.875
1,1,23,1,0.375
1,8,0,1,0.0
1,8,1,1,0.0
1,8,2,1,0.0
1,8,3,1,0.0
1,8,4,1,0.0
1,8,5,1,0.375
1,8,6,1,2.5
1,8,7,1,9.625
1,8,8,1,20.875
1,8,9,1,22.375
1,8,10,1,8.375
1,8,11,1,6.0
1,8,12,1,6.375
1,8,13,1,6.375
1,8,14,1,5.5
1,8,15,1,6.375
1,8,16,1,8.875
1,8,17,1,13.125
1,8,18,1,17.5
1,8,19,1,6.375
1,8,20,1,3.125
1,8,21,1,2.0
1,8,22,1,0.875
1,8,23,1,0.375
1,18,0,1,0.0
1,18,1,1,0.0
1,18,2,1,0.0
1,18,3,1,0.0
1,18,4,1,0.0
1,18,5,1,0.0
1,18,6,1,0.625
1,18,7,1,1.75
1,18,8,1,2.625
1,18,9,1,3.625
1,18,10,1,3.875
1,18,11,1,4.625
1,18,12,1,6.75
1,18,13,1,6.5
1,18,14,1,6.875
1,18,15,1,7.125
1,18,16,1,7.25
1,18,17,1,10.125
1,18,18,1,6.625
1,18,19,1,4.25
1,18,20,1,2.375
1,18,21,1,1.125
1,18,22,1,0.75
1,18,23,1,0.25
1,21,0,1,0.25
1,21,1,1,0.0
1,21,2,1,0.0
1,21,3,1,0.0
1,21,4,1,0.0
1,21,5,1,0.25
1,21,6,1,1.75
1,21,7,1,4.75
1,21,8,1,6.625
1,21,9,1,6.875
1,21,10,1,6.625
1,21,11,1,6.375
1,21,12,1,7.75
1,21,13,1,8.375
1,21,14,1,7.5
1,21,15,1,8.125
1,21,16,1,8.875
1,21,17,1,8.125
1,21,18,1,7.0
1,21,19,1,5.125
1,21,20,1,2.875
1,21,21,1,1.5
1,21,22,1,1.0
1,21,23,1,0.25
1,22,0,1,0.0
1,22,1,1,0.0
1,22,2,1,0.0
1,22,3,1,0.0
1,22,4,1,0.0
1,22,5,1,0.375
1,22,6,1,2.5
1,22,7,1,9.625
1,22,8,1,26.125
1,22,9,1,26.0
1,22,10,1,8.125
1,22,11,1,6.5
1,22,12,1,6.375
1,22,13,1,7.25
1,22,14,1,5.625
1,22,15,1,7.0
1,22,16,1,8.0
1,22,17,1,32.375
1,22,18,1,16.75
1,22,19,1,7.875
1,22,20,1,3.625
1,22,21,1,2.0
1,22,22,1,1.25
1,22,23,1,0.5
1,25,0,1,0.0
1,25,1,1,0.0
